fine_topics,year,paper_count
Monte-Carlo Dropout,2022,1
Multi-Scale Attention,2024,1
NER,2021,67
NER,2022,59
NER,2023,95
NER,2024,42
NLG evaluation,2022,1
NLG evaluation,2023,1
NLG metrics,2024,1
NLI,2021,1
NLI,2022,1
NLI,2023,1
NLI,2024,1
NLIDB security,2024,1
NLP,2021,1
NLP applications,2024,1
NLU,2021,2
NLU tasks,2023,1
OCR,2023,1
OCR,2024,1
OOD detection,2023,1
POMDP,2022,1
POS,2021,1
POS tagging,2022,1
POS tagging,2023,1
Pareto efficiency,2024,1
Q-learning,2022,1
QA/MCQ reasoning,2022,2
QA/MCQ reasoning,2024,2
QA/abstractive,2021,29
QA/abstractive,2022,36
QA/abstractive,2023,64
QA/abstractive,2024,99
QA/extractive,2021,145
QA/extractive,2022,158
QA/extractive,2023,268
QA/extractive,2024,290
QA/open-domain QA,2024,1
RE/relation extraction,2021,40
RE/relation extraction,2022,59
RE/relation extraction,2023,59
RE/relation extraction,2024,28
RL for text generation,2022,1
RLHF/GRPO/PPO,2021,11
RLHF/GRPO/PPO,2022,7
RLHF/GRPO/PPO,2023,42
RLHF/GRPO/PPO,2024,102
RLHF/optimization,2024,1
SLU,2023,1
STS,2022,1
SVM,2024,1
Shapley value,2024,1
TTS/speech synthesis,2022,1
TTS/speech synthesis,2023,4
TTS/speech synthesis,2024,8
Transformer models,2023,1
VAE/variational autoencoders,2024,1
VLM/vision-language,2021,42
VLM/vision-language,2022,70
VLM/vision-language,2023,118
VLM/vision-language,2024,183
VQA,2023,1
VQA/extractive,2021,1
WSD/lexical semantics,2021,26
WSD/lexical semantics,2022,16
WSD/lexical semantics,2023,26
WSD/lexical semantics,2024,20
abductive reasoning,2022,1
abstract syntax trees,2023,1
abstractive summarization,2023,1
accent adaptation,2023,1
accent transfer,2023,1
acoustic classification,2024,1
acoustic landmarks,2024,1
acoustic language identification,2024,1
acoustic modeling,2023,1
action recognition,2024,2
activation clustering,2024,1
activation editing,2024,1
activation quantization,2023,2
activation quantization,2024,2
activation scaling,2024,1
active learning,2021,4
active learning,2022,6
active learning,2023,15
active learning,2024,9
active learning/task selection,2023,1
actor-critic methods,2021,1
adaptation,2023,1
adaptation layers,2024,1
adapter ensembles,2024,1
adapter learning,2023,1
adapter methods,2022,1
adapter methods,2023,1
adapter methods,2024,1
adapter modules,2022,1
adapter tuning,2022,1
adapter tuning,2023,2
adapter-based finetuning,2022,1
adapter-tuning,2022,1
adapters,2021,1
adaptive algorithms,2023,1
adaptive dialogue systems,2023,1
adaptive optimization,2023,1
adaptive sensing,2022,1
adversarial attack detection,2021,1
adversarial attacks,2023,2
adversarial attacks,2024,4
adversarial detection,2022,1
adversarial detection,2024,1
adversarial domain adaptation,2024,1
adversarial evaluation,2023,1
adversarial examples,2021,1
adversarial examples,2022,1
adversarial learning,2021,10
adversarial learning,2022,3
adversarial learning,2024,3
adversarial methods,2021,1
adversarial methods,2023,1
adversarial methods,2024,1
adversarial perturbations,2024,1
adversarial robustness,2024,1
adversarial training,2021,3
adversarial training,2022,6
adversarial training,2023,2
adversarial training,2024,1
affective computing,2022,1
agent learning,2024,1
agent modeling,2023,1
agents/planning,2021,4
agents/planning,2022,6
agents/planning,2023,20
agents/planning,2024,89
agreement loss,2021,1
alignment,2023,5
alignment,2024,2
alignment algorithms,2021,1
alignment techniques,2024,1
alignment/forgetting trade-off,2024,1
ambiguity resolution,2023,1
amortized variational inference,2021,1
analogical learning,2021,1
analogical reasoning,2022,1
analogy methods,2023,1
analysis,2021,3
analysis,2023,2
analysis methods,2022,1
analysis methods,2023,1
analysis/self-consistency,2021,1
analysis/semantics,2024,1
anaphora/cataphora,2021,3
anaphora/cataphora,2022,1
anaphora/cataphora,2023,3
anaphora/cataphora,2024,1
ancient languages,2021,1
angular loss,2024,1
annotation,2021,2
annotation,2023,2
annotation,2024,4
annotation consistency,2021,1
annotation corpus,2022,1
annotation cost,2022,1
annotation disagreement,2023,2
annotation efficiency,2023,1
annotation efficiency,2024,1
annotation methodology,2024,1
annotation methods,2023,1
annotation methods,2024,2
annotation modeling,2024,1
annotation practices,2023,1
annotation projection,2023,1
annotation quality,2021,2
annotation quality,2022,2
annotation quality,2023,1
annotation quality,2024,1
annotation scheme,2024,1
annotation schemes,2023,1
annotation strategies,2024,1
annotation studies,2023,1
annotation studies,2024,1
annotation/corpus creation,2023,1
annotation/data collection,2023,1
annotation/dataset creation,2024,1
annotation/datasets,2022,1
annotation/labeling,2023,2
annotation/multi-annotation,2023,1
annotation/subjectivity,2023,1
answer consolidation,2022,1
anti-social language detection,2023,1
approximate nearest neighbor search,2023,1
approximation algorithms,2023,1
argument mining,2022,3
argument mining,2023,6
argument mining,2024,3
argumentation,2021,1
argumentation,2022,1
argumentation,2024,1
argumentation frameworks,2023,1
argumentation mining,2021,1
arithmetic reasoning,2023,1
article generation,2023,1
artifact detection,2021,1
aspect category detection,2022,1
aspect category detection,2023,1
aspect category sentiment analysis,2021,1
aspect detection,2021,1
aspect extraction,2021,1
aspect sentiment triplet extraction,2023,2
aspect sentiment triplet extraction,2024,1
aspect term extraction,2021,1
aspect term extraction,2023,1
aspect term polarity,2023,1
aspect-based sentiment analysis,2021,8
aspect-based sentiment analysis,2022,7
aspect-based sentiment analysis,2023,5
aspect-based sentiment analysis,2024,6
aspect-based sentiment classification,2021,1
aspect-based sentiment classification,2022,1
aspect-level sentiment analysis,2022,1
aspect-level sentiment classification,2021,1
atomic inference,2024,1
attack chaining,2024,1
attention analysis,2023,1
attention augmentation,2021,1
attention mechanism,2023,1
attention mechanisms,2021,19
attention mechanisms,2022,14
attention mechanisms,2023,14
attention mechanisms,2024,8
attention optimizations,2021,1
attention-based methods,2021,1
attribute binding,2023,1
attribute classifiers,2022,1
attribute distribution reconstruction,2023,1
attribute extraction,2022,1
attribute inference attack,2022,1
attribute prediction,2023,1
attribute refinement,2022,1
attribution,2024,1
audio LMs,2022,1
audio LMs,2023,4
audio LMs,2024,3
audio-language models,2024,1
audit/measurement,2021,2
audit/measurement,2022,8
audit/measurement,2023,24
audit/measurement,2024,33
augmentation,2021,2
augmentation learning,2023,1
augmentation techniques,2021,1
author verification,2023,1
authorship attribution,2021,1
authorship attribution,2022,1
authorship attribution,2023,2
authorship obfuscation,2022,1
authorship verification,2023,1
authorship verification,2024,1
autocomplete,2023,1
autoencoder,2022,1
autoencoders,2024,1
automated essay scoring,2023,1
automated essay scoring,2024,1
automatic evaluation metrics,2023,1
automatic labeling,2023,1
automatic post-editing,2023,1
automatic prompt design,2023,1
automatic prompt generation,2023,1
autonomous driving,2024,1
autoregressive generation,2021,1
backdoor attacks,2022,1
backdoor attacks,2023,1
batch processing,2024,1
beam search,2022,1
behavior analysis,2024,1
behavior cloning,2021,1
behavioral studies,2024,1
behavioral testing,2024,1
benchmark analysis,2023,1
benchmark construction,2024,1
benchmark contamination detection,2024,1
benchmark creation,2024,2
benchmark dataset,2022,1
benchmark evaluation,2024,1
benchmark generation,2021,1
benchmark release,2022,1
benchmark release,2023,2
benchmark release,2024,2
benchmark subset selection,2023,1
benchmark/dataset,2022,2
benchmark/dataset,2023,1
benchmark/dataset creation,2024,1
benchmark/dataset release,2021,1
benchmarking,2022,7
benchmarking,2023,17
benchmarking,2024,20
benchmarking LLMs,2024,1
benchmarking multimodal code generation,2024,1
benchmarking with missing data,2024,1
benchmarking/dataset release,2023,1
bi-directional voting,2023,1
bi-objective optimization,2024,1
bias mitigation,2024,1
bias/fairness,2021,38
bias/fairness,2022,42
bias/fairness,2023,82
bias/fairness,2024,102
bidirectional information propagation,2024,1
bilinear tensor models,2023,1
binary classification,2022,1
binary classification,2023,1
binary classification,2024,2
binary code analysis,2023,1
binary representation,2024,1
biomedical,2021,7
biomedical,2022,2
biomedical,2023,5
biomedical,2024,8
biomedical NLI,2023,1
biomedical NLP,2021,3
biomedical NLP,2022,2
biomedical NLP,2023,2
biomedical adaptation,2024,1
biomedical concept normalization,2021,1
biomedical entity linking,2023,1
biomedical semantic textual similarity,2023,1
bipartite matching loss,2021,1
black-box attack,2021,1
black-box attack,2022,1
blockchain-inspired methods,2024,1
boosting methods,2023,1
bootstrapping,2021,1
bot detection,2024,1
boundary detection,2021,1
brain imaging,2022,1
budget allocation,2024,1
budget-guided optimization,2024,1
bug detection,2022,1
bug localization,2022,1
calibration,2024,1
calibration data,2024,1
candidate ranking,2023,1
cardinality modeling,2022,1
case outcome classification,2024,1
catastrophic forgetting,2021,1
catastrophic forgetting,2023,3
catastrophic forgetting,2024,2
catastrophic forgetting prevention,2023,1
causal analysis,2021,1
causal analysis,2022,1
causal analysis,2024,1
causal attention,2022,1
causal discovery,2024,1
causal inference,2021,3
causal inference,2022,4
causal inference,2023,7
causal inference,2024,8
causal inference in dialogue,2023,1
causal intervention,2023,2
causal mediation analysis,2023,1
causal mediation analysis,2024,3
causal modeling,2024,1
causal reasoning,2021,1
causal reasoning,2023,4
causal reasoning,2024,3
causal relation extraction,2023,1
causal relation extraction,2024,1
causality,2022,1
causality analysis,2024,1
causality reasoning,2022,1
cause extraction,2023,1
centrality detection,2023,1
certainty estimation,2024,1
certified robustness,2024,1
chain-of-thought,2023,7
chain-of-thought,2024,3
chain-of-thought prompting,2023,7
chain-of-thought reasoning,2023,2
chain-of-thought reasoning,2024,1
channel-wise scaling,2023,1
channel-wise shifting,2023,1
character description generation,2021,1
character embeddings,2024,1
character identification,2021,1
character modeling,2022,1
character-centric narrative understanding,2021,1
chemical language representation,2024,1
chronological consistency,2022,1
chunk-wise decoding,2024,1
circle loss,2022,1
circular cosine similarity,2023,1
claim detection,2022,1
claim span identification,2023,1
claim-evidence extraction,2023,1
class imbalance,2021,4
class imbalance,2022,1
class imbalance,2023,1
classical Chinese NLP,2024,1
classification,2021,27
classification,2022,17
classification,2023,40
classification,2024,30
classification methods,2021,1
classification modeling,2022,1
classification/emotion recognition,2024,1
classification/fine-grained,2021,1
classification/multi-label,2021,1
classification/text classification,2023,1
classifier guidance,2024,1
clinical NLP,2021,1
clinical NLP,2022,2
clinical NLP,2023,2
clinical NLP,2024,3
clinical document classification,2021,1
clinical domain,2022,1
clinical notes processing,2021,1
clinical text processing,2024,1
clustering,2021,8
clustering,2022,11
clustering,2023,10
clustering,2024,9
clustering metrics,2023,1
co-evolution methods,2024,1
co-regularization,2021,1
co-training,2024,1
code LMs/generation,2021,13
code LMs/generation,2022,17
code LMs/generation,2023,38
code LMs/generation,2024,50
code generation,2023,1
code perturbation,2023,1
code search,2022,1
code structure analysis,2023,1
code understanding,2023,1
code-mixed language processing,2023,1
code-mixing,2022,1
code-mixing,2023,1
code-switching,2021,1
code-switching,2022,2
code-switching,2023,1
code-switching,2024,3
cognitive modeling,2021,1
cognitive modeling,2022,1
cognitive modeling,2023,3
cognitive modeling,2024,3
cognitive neuroscience,2022,1
coherence evaluation,2022,1
coherence evaluation,2023,1
coherence modeling,2021,1
coherence modeling,2022,2
coherence modeling,2024,1
collaborative filtering,2024,1
collaborative games,2024,1
collaborative learning,2023,2
combination models,2023,1
common ground modeling,2023,1
common ground modeling,2024,1
common sense reasoning,2022,1
commonsense inference,2021,1
commonsense knowledge integration,2021,1
commonsense knowledge integration,2022,1
commonsense reasoning,2021,10
commonsense reasoning,2022,8
commonsense reasoning,2023,9
commonsense reasoning,2024,2
communication,2024,1
communication mechanism,2022,1
communication optimization,2024,1
community detection,2024,1
community engagement,2023,1
community question answering,2022,1
community-specific modeling,2023,1
complaint identification,2023,1
complex audio reasoning,2024,1
complex instruction following,2024,1
complex question answering,2021,1
complex reasoning,2024,2
complexity measures,2023,1
compositional generalization,2021,3
compositional generalization,2022,2
compositional generalization,2023,3
compositional learning,2022,1
compositional learning,2023,1
compositional models,2022,1
compositional reasoning,2023,1
compositionality,2021,3
compositionality,2022,1
compositionality,2023,1
compositionality,2024,2
compression,2023,1
computation optimization,2024,1
computational journalism,2023,1
computational social science,2022,1
concept classification,2023,1
concept embeddings,2023,1
concept planning,2021,1
concept relationship recognition,2023,1
concept-to-text generation,2021,1
conceptualization augmentation,2023,1
conclusion deduction,2024,1
conditional generation,2021,1
conditional generation,2022,2
conditional graph generation,2022,1
conditional random fields,2023,1
conditional sentence generation,2024,1
conditional set generation,2022,1
conditional similarity,2024,1
confidence calibration,2023,3
confidence embeddings,2022,1
confidence estimation,2024,3
confidence modeling,2023,1
confidence scoring,2023,1
confidence weighting,2024,1
conformal prediction,2022,1
consistency,2021,1
consistency in generation,2024,1
consistency learning,2024,1
consistency regularization,2023,1
consistency regularization,2024,1
consistency training,2022,1
consistency-guided learning,2024,1
constrained decoding,2022,1
constrained decoding,2023,1
constraint decoding,2022,1
constraint learning,2021,1
content planning,2022,2
content planning,2023,1
content preservation,2022,1
content selection,2021,1
content similarity,2024,1
context extraction,2022,1
context generation,2022,1
context modeling,2022,1
context-aware modeling,2021,1
context-aware models,2023,1
context-aware translation,2024,1
context-dependent paraphrase,2024,1
contextual ambiguity,2023,1
contextual biasing,2024,1
contextual embeddings,2021,1
contextual embeddings,2023,1
contextual modeling,2021,2
contextual modeling,2023,3
contextual modeling,2024,1
contextual prompts,2022,1
contextual reasoning,2021,1
contextual representation,2021,2
contextual representation,2023,1
contextualization,2021,1
contextualized embeddings,2024,1
continual learning,2021,1
continual learning,2022,4
continual learning,2023,8
continual learning,2024,6
continued pretraining/domain-adapt,2021,91
continued pretraining/domain-adapt,2022,95
continued pretraining/domain-adapt,2023,146
continued pretraining/domain-adapt,2024,169
continuous learning,2021,1
continuous representations,2023,1
contract clause extraction,2022,1
contract clause retrieval,2022,1
contrastive decoding,2024,1
contrastive explanations,2022,2
contrastive instruction,2023,1
contrastive learning,2021,19
contrastive learning,2022,53
contrastive learning,2023,56
contrastive learning,2024,28
contrastive learning/dense,2023,1
controllable generation,2022,2
controllable generation,2023,2
controllable text generation,2021,1
controlled decoding,2024,1
controlled generation,2021,2
conversational QA,2022,1
conversational engagement,2024,1
conversational recommender systems,2023,1
conversational search,2022,1
conversational semantic role labeling,2021,1
conversational/task-oriented dialogue,2024,1
convolutional networks,2021,1
cooperative interactions,2022,1
coordination structure,2021,1
copy mechanism,2021,2
copyright protection,2024,1
core NLP Tasks,2021,1
core NLP Tasks,2022,1
core NLP Tasks: text classification,2022,1
core NLP tasks,2023,1
coreference,2021,33
coreference,2022,32
coreference,2023,40
coreference,2024,25
corpus construction,2021,1
corpus creation,2023,3
corpus creation,2024,1
corpus-based study,2021,1
correlation with human judgement,2021,1
cost optimization,2024,1
cost reduction,2023,1
cost-aware learning,2022,1
cost-efficient IE,2024,1
counterfactual augmentation,2023,1
counterfactual data augmentation,2023,1
counterfactual evaluation,2022,1
counterfactual explanation,2024,1
counterfactual fairness,2023,1
counterfactual learning,2022,1
counterfactual reasoning,2021,1
counterfactual reasoning,2022,1
counterfactual reasoning,2023,1
counterfactual reasoning,2024,2
crisis informatics,2021,1
cross-architecture distillation,2021,1
cross-attention,2021,2
cross-attention,2022,1
cross-attention,2023,2
cross-attention optimization,2023,1
cross-benchmark transfer,2022,1
cross-cultural NLP,2023,1
cross-cultural NLP,2024,1
cross-cultural analysis,2023,1
cross-document analysis,2023,1
cross-document reasoning,2021,1
cross-domain adaptation,2021,1
cross-domain adaptation,2023,2
cross-domain evaluation,2022,1
cross-domain evaluation,2023,1
cross-domain learning,2022,2
cross-domain learning,2023,1
cross-domain learning,2024,1
cross-domain transfer,2021,2
cross-encoder architecture,2022,1
cross-encoding,2024,1
cross-entity comparison,2023,1
cross-lingual NLP,2022,2
cross-lingual NLP,2023,1
cross-lingual NLU,2023,1
cross-lingual adaptation,2021,2
cross-lingual alignment,2021,3
cross-lingual alignment,2022,1
cross-lingual alignment,2023,4
cross-lingual alignment,2024,1
cross-lingual classification,2021,1
cross-lingual classification,2023,1
cross-lingual fine-tuning,2022,1
cross-lingual learning,2021,1
cross-lingual learning,2022,2
cross-lingual models,2021,1
cross-lingual parsing,2024,1
cross-lingual retrieval,2022,1
cross-lingual similarity estimation,2021,1
cross-lingual summarization,2022,1
cross-lingual transfer,2021,11
cross-lingual transfer,2022,10
cross-lingual transfer,2023,8
cross-lingual transfer,2024,12
cross-modal alignment,2022,1
cross-modal alignment,2023,1
cross-modal alignment,2024,1
cross-modal fusion,2023,1
cross-modal learning,2022,1
cross-modal learning,2023,2
cross-modal learning,2024,1
cross-modal modeling,2022,1
cross-modal retrieval,2024,1
cross-model generalization,2024,1
cross-platform analysis,2024,1
cross-policy generalization,2021,1
cross-sentence interaction,2021,1
cross-task generalization,2021,1
cross-task generalization,2024,1
cross-task learning,2023,1
crosslingual alignment,2021,1
crossmodal learning,2024,1
crowd annotation,2024,1
crowdsourcing,2021,1
crowdsourcing,2024,1
cultural features,2023,1
curriculum analysis,2022,1
curriculum learning,2021,8
curriculum learning,2022,11
curriculum learning,2023,9
curriculum learning,2024,7
data annotation,2024,2
data augmentation,2021,11
data augmentation,2022,16
data augmentation,2023,9
data augmentation,2024,11
data balancing,2024,1
data collection,2021,1
data efficiency,2023,2
data efficiency,2024,1
data filtering/deduplication,2021,26
data filtering/deduplication,2022,26
data filtering/deduplication,2023,46
data filtering/deduplication,2024,29
data leakage,2021,1
data poisoning,2023,1
data poisoning,2024,1
data privacy,2024,1
data quality,2022,1
data quality,2023,1
data replay,2023,1
data replay,2024,1
data selection,2021,1
data selection strategies,2023,1
data transformation,2024,1
data triage,2024,1
data-based cross-lingual transfer,2022,1
data-centric analysis,2022,1
data-efficient learning,2021,1
data-to-text generation,2021,2
data-to-text generation,2022,4
data-to-text generation,2023,1
data-to-text generation,2024,1
database querying,2021,1
dataset analysis,2022,1
dataset analysis,2023,1
dataset analysis,2024,1
dataset balancing,2022,1
dataset characterization,2024,1
dataset cleansing,2024,1
dataset composition,2024,1
dataset construction,2023,3
dataset creation,2021,7
dataset creation,2022,5
dataset creation,2023,8
dataset creation,2024,7
dataset creation/annotation,2022,1
dataset creation/annotation,2023,1
dataset curation,2023,1
dataset curation,2024,2
dataset documentation,2021,1
dataset inference,2022,1
dataset release,2022,2
dataset release,2023,1
dataset release,2024,1
dataset synthesis/augmentation,2021,108
dataset synthesis/augmentation,2022,121
dataset synthesis/augmentation,2023,198
dataset synthesis/augmentation,2024,203
datasets,2021,1
datasets,2024,2
datasets/benchmarks,2024,1
debiasing,2022,1
debiasing,2023,1
debiasing,2024,1
decoding algorithms,2023,2
decoding control,2023,1
decoding methods,2021,1
decoding methods,2023,1
decoding/ sampling control,2023,1
decoding/decoding algorithms,2022,1
decomposition,2021,1
deductive methods,2023,1
deductive reasoning,2022,2
deduplication,2024,1
deep learning,2021,6
deep learning,2022,2
deep learning,2023,1
deep learning,2024,3
deep learning methods,2021,1
deep metric learning,2022,1
defense mechanisms,2022,1
defense methods,2023,1
defense methods,2024,1
defense strategies,2023,1
definition bias,2024,1
definition generation,2021,1
definition generation,2024,1
definition modeling,2023,1
demographic analysis,2022,1
demographic bias mitigation,2022,1
demographic feature use,2024,1
demonstration selection,2024,2
demonstration-based learning,2022,1
denoising,2023,1
denoising methods,2024,1
denoising rationalization,2024,1
denoising training,2024,1
dense retrieval,2023,1
dependency length,2022,1
dependency modeling,2024,1
dependency parsing,2021,2
dependency parsing,2023,2
depression detection,2023,1
depression detection,2024,1
depression diagnosis,2022,1
detect-correct framework,2021,1
deterministic methods,2021,1
diagnosis bias metric,2024,1
diagnostic dataset,2021,1
dialect identification,2023,1
dialect identification,2024,1
dialect transfer,2023,1
dialog act prediction,2021,1
dialog state tracking,2021,1
dialog summary,2022,1
dialog/open-domain,2023,1
dialog/task-oriented,2021,4
dialog/task-oriented,2022,1
dialog/task-oriented,2023,1
dialogue analysis,2023,1
dialogue evaluation,2022,1
dialogue segmentation,2023,1
dialogue/open-domain,2021,41
dialogue/open-domain,2022,27
dialogue/open-domain,2023,77
dialogue/open-domain,2024,59
dialogue/policy learning,2022,1
dialogue/response generation,2022,1
dialogue/state tracking,2022,1
dialogue/task-oriented,2021,102
dialogue/task-oriented,2022,102
dialogue/task-oriented,2023,147
dialogue/task-oriented,2024,99
dictionary learning,2024,1
dictionary-based methods,2023,2
differentiable relaxation,2021,1
differential privacy,2022,1
diffusion models,2023,2
dimension reduction,2022,1
dimensionality reduction,2022,1
dimensionality reduction,2024,1
direct speech translation,2024,1
disambiguation,2023,1
discourse,2022,1
discourse,2023,1
discourse analysis,2021,6
discourse analysis,2022,2
discourse analysis,2023,3
discourse analysis,2024,1
discourse coherence,2021,1
discourse comprehension,2022,1
discourse marker detection,2024,1
discourse modeling,2021,1
discourse parsing,2023,2
discourse parsing,2024,1
discourse representation,2021,1
discourse segmentation,2021,1
discourse structure,2023,2
discrete representations,2022,1
discrete representations,2023,1
discrimination/filtering,2022,1
discriminative methods,2021,1
discriminative training,2022,1
discriminator,2021,1
discriminator guidance,2022,1
disease progression prediction,2024,1
disfluency correction,2023,1
disfluency detection,2023,1
disinformation detection,2022,1
disinformation detection,2024,1
distance-based methods,2023,1
distant supervision,2021,7
distant supervision,2022,1
distant supervision,2023,5
distillation,2021,22
distillation,2022,19
distillation,2023,34
distillation,2024,26
distillation/knowledge transfer,2022,1
distress detection,2023,1
distributed learning,2024,1
distributed training,2023,1
distributed training,2024,1
distribution alignment,2022,1
distribution balancing,2021,1
distribution bias,2023,1
distribution shift,2023,1
distributional inference,2023,1
diversity sampling,2021,1
diversity sampling,2023,1
document classification,2021,1
document classification,2023,2
document clustering,2024,1
document encoding,2021,1
document intelligence,2023,1
document layout analysis,2023,1
document processing,2024,1
document representation,2023,1
document structure,2022,1
document understanding,2023,1
document understanding,2024,1
document-level IE,2023,1
document-level NER,2023,1
document-level NLI,2021,1
document-level NLP,2022,2
document-level NLP,2023,1
document-level context modeling,2021,2
document-level extraction,2021,1
document-level modeling,2022,1
document-level modeling,2023,1
document-level modeling,2024,1
document-level relation extraction,2021,1
document-level relation extraction,2024,1
document-level translation,2023,2
documentation generation,2021,1
domain adaptation,2021,9
domain adaptation,2022,10
domain adaptation,2023,13
domain adaptation,2024,3
domain adaptation/financial reports,2023,1
domain generalization in QA,2022,1
domain knowledge integration,2021,1
domain transfer,2021,1
domain-adversarial learning,2022,1
domain-adversarial training,2021,1
domain-specific NER,2021,1
domain-specific dataset,2024,1
domain-specific pretraining,2024,1
downstream tasks,2024,1
drug-drug interaction prediction,2023,1
dual decoders,2022,1
dual-encoder architecture,2022,1
dual-encoder architectures,2023,1
dynamic architectures,2023,1
dynamic data selection,2022,1
dynamic epistemic logic,2023,1
dynamic graph neural networks,2023,1
dynamic inference,2024,1
dynamic module composition,2024,1
dynamic routing,2024,1
dynamic token pruning,2023,1
dynamic topic modeling,2022,1
e-commerce dialogue,2023,1
early exit,2022,1
early exit,2024,1
early exit strategies,2024,1
early stopping,2023,1
early stopping,2024,1
early-exit techniques,2024,1
economic modeling,2024,1
edge computing,2024,1
edge label encoding,2021,1
edit distance robustness,2024,1
edit-distance-based labeling,2021,1
editing-based MT,2022,1
education,2021,1
education,2023,4
education,2024,4
education/student simulation,2024,1
efficiency,2021,4
efficiency,2022,6
efficiency,2023,3
efficiency,2024,8
efficiency & systems,2021,16
efficiency & systems,2022,24
efficiency & systems,2023,38
efficiency & systems,2024,23
efficiency & systems/dataset synthesis/augmentation,2022,1
efficiency & systems/throughput/latency/inference serving,2021,1
efficiency & systems/throughput/latency/inference serving,2024,1
efficiency & systems: dataset synthesis/augmentation,2023,1
efficiency algorithm,2024,1
efficiency improvement,2023,1
efficiency in communication,2021,1
efficiency optimization,2021,3
efficiency optimization,2022,1
efficiency optimization,2023,2
efficiency optimization,2024,1
efficiency/encoding,2024,1
efficiency/graph methods,2023,1
efficiency/latency,2023,1
efficiency/latency/inference serving,2021,1
efficiency/latency/inference serving,2022,1
efficiency/optimization,2021,1
efficiency/scalability,2024,1
efficiency/speed,2021,1
efficiency/speed,2022,1
efficiency/speed,2023,1
efficiency/speed,2024,1
efficiency/speedup,2024,1
efficiency/systems,2021,1
efficiency/systems,2022,1
efficiency/systems,2023,2
efficiency/systems,2024,6
efficiency/throughput/inference serving,2023,1
efficiency/throughput/latency/inference serving,2023,3
efficiency/throughput/latency/inference serving,2024,2
efficient fine-tuning,2023,1
efficient inference,2024,1
efficient training,2023,1
egocentric video understanding,2024,1
embedding,2024,1
embedding adaptation,2021,1
embedding alignment,2021,1
embedding alignment,2022,1
embedding analysis,2022,2
embedding analysis,2023,2
embedding analysis,2024,1
embedding compression,2022,1
embedding constraints,2023,1
embedding geometry analysis,2021,1
embedding initialization,2023,1
embedding inversion,2022,1
embedding learning,2021,3
embedding learning,2022,4
embedding learning,2024,1
embedding manipulation,2021,1
embedding manipulation,2022,1
embedding mapping,2024,1
embedding methods,2021,7
embedding methods,2022,4
embedding methods,2023,6
embedding methods,2024,5
embedding models,2021,1
embedding models,2023,2
embedding models,2024,1
embedding privacy,2022,1
embedding probing,2023,1
embedding quality,2023,1
embedding selection,2023,1
embedding space,2023,1
embedding space analysis,2021,1
embedding space analysis,2023,1
embedding strategies,2022,1
embedding synthesis,2024,1
embedding-based architectures,2024,1
embodied AI,2023,1
embodied AI,2024,1
embodied agents,2024,1
emergent behavior,2021,1
emotion analysis,2021,2
emotion analysis,2022,1
emotion analysis,2023,6
emotion analysis,2024,3
emotion cause detection,2021,1
emotion cause extraction,2021,1
emotion cause extraction,2022,1
emotion cause extraction,2023,1
emotion cause extraction,2024,1
emotion classification,2021,1
emotion classification,2022,1
emotion classification,2024,1
emotion control,2024,1
emotion correlation,2023,1
emotion detection,2022,2
emotion detection/categorical,2021,1
emotion detection/dimensional,2021,1
emotion dynamics,2023,1
